"Occupancy","Time"
"0","0.0"
"1","0.125"
"2","0.25"
"3","0.1875"
"4","0.125"
"5","0.1875"
"6","0.25"
"7","0.15625"
"8","0.125"
"9","0.15625"
"10","0.125"
"11","0.15625"
"12","0.1875"
"13","0.21875"
"14","0.125"
"15","0.140625"
"16","0.125"
"17","0.140625"
"18","0.125"
"19","0.140625"
"20","0.15625"
"21","0.171875"
"22","0.1875"
"23","0.171875"
"24","0.1875"
"25","0.203125"
"26","0.109375"
"27","0.1015625"
"28","0.109375"
"29","0.1171875"
"30","0.125"
"31","0.1328125"
"32","0.125"
"33","0.1328125"
"34","0.140625"
"35","0.1328125"
"36","0.140625"
"37","0.1484375"
"38","0.15625"
"39","0.1640625"
"40","0.171875"
"41","0.1796875"
"42","0.1875"
"43","0.1953125"
"44","0.203125"
"45","0.10546875"
"46","0.109375"
"47","0.11328125"
"48","0.1171875"
"49","0.12109375"
"50","0.125"
"51","0.12890625"
"52","0.1328125"
"53","0.12890625"
"54","0.125"
"55","0.12890625"
"56","0.1328125"
"57","0.13671875"
"58","0.140625"
"59","0.14453125"
"60","0.140625"
"61","0.14453125"
"62","0.1484375"
"63","0.15234375"
"64","0.15625"
"65","0.16015625"
"66","0.15625"
"67","0.15234375"
"68","0.15625"
"69","0.16015625"
"70","0.1640625"
"71","0.16015625"
"72","0.1640625"
"73","0.16015625"
"74","0.15625"
"75","0.16015625"
"76","0.1640625"
"77","0.16796875"
"78","0.1640625"
"79","0.16796875"
"80","0.171875"
"81","0.16796875"
"82","0.171875"
"83","0.17578125"
"84","0.1796875"
"85","0.18359375"
"86","0.1875"
"87","0.19140625"
"88","0.1953125"
"89","0.19140625"
"90","0.1953125"
"91","0.19921875"
"92","0.203125"
"93","0.103515625"
"94","0.10546875"
"95","0.107421875"
"96","0.109375"
"97","0.111328125"
"98","0.11328125"
"99","0.115234375"
"100","0.1171875"
"101","0.119140625"
"102","0.12109375"
"103","0.123046875"
"104","0.125"
"105","0.12695312"
"106","0.12890625"
"107","0.13085938"
"108","0.1328125"
"109","0.13085938"
"110","0.1328125"
"111","0.13085938"
"112","0.12890625"
"113","0.13085938"
"114","0.12890625"
"115","0.13085938"
"116","0.1328125"
"117","0.13476562"
"118","0.13671875"
"119","0.13476562"
"120","0.13671875"
"121","0.13867188"
"122","0.13671875"
"123","0.13867188"
"124","0.140625"
"125","0.13867188"
"126","0.140625"
"127","0.14257812"
"128","0.140625"
"129","0.14257812"
"130","0.140625"
"131","0.14257812"
"132","0.140625"
"133","0.14257812"
"134","0.140625"
"135","0.14257812"
"136","0.140625"
"137","0.14257812"
"138","0.140625"
"139","0.14257812"
"140","0.14453125"
"141","0.14648438"
"142","0.1484375"
"143","0.15039062"
"144","0.15234375"
"145","0.15039062"
"146","0.15234375"
"147","0.15429688"
"148","0.15625"
"149","0.15820312"
"150","0.16015625"
"151","0.16210938"
"152","0.1640625"
"153","0.16210938"
"154","0.1640625"
"155","0.16601562"
"156","0.16796875"
"157","0.16601562"
"158","0.1640625"
"159","0.16601562"
"160","0.16796875"
"161","0.16992188"
"162","0.171875"
"163","0.17382812"
"164","0.17578125"
"165","0.17773438"
"166","0.1796875"
"167","0.17773438"
"168","0.1796875"
"169","0.18164062"
"170","0.18359375"
"171","0.18554688"
"172","0.1875"
"173","0.18945312"
"174","0.1875"
"175","0.18554688"
"176","0.1875"
"177","0.18554688"
"178","0.1875"
"179","0.18945312"
"180","0.19140625"
"181","0.19335938"
"182","0.19140625"
"183","0.19335938"
"184","0.1953125"
"185","0.19726562"
"186","0.1953125"
"187","0.19726562"
"188","0.19921875"
"189","0.20117188"
"190","0.1015625"
"191","0.10253906"
"192","0.103515625"
"193","0.10449219"
"194","0.103515625"
"195","0.10253906"
"196","0.103515625"
"197","0.10449219"
"198","0.10546875"
"199","0.10449219"
"200","0.10546875"
"201","0.10449219"
"202","0.10546875"
"203","0.10644531"
"204","0.10546875"
"205","0.10644531"
"206","0.10546875"
"207","0.10449219"
"208","0.103515625"
"209","0.10449219"
"210","0.10546875"
"211","0.10644531"
"212","0.107421875"
"213","0.10839844"
"214","0.109375"
"215","0.11035156"
"216","0.111328125"
"217","0.11035156"
"218","0.111328125"
"219","0.11230469"
"220","0.11328125"
"221","0.11230469"
"222","0.11328125"
"223","0.11425781"
"224","0.115234375"
"225","0.11621094"
"226","0.1171875"
"227","0.11621094"
"228","0.1171875"
"229","0.11816406"
"230","0.119140625"
"231","0.11816406"
"232","0.1171875"
"233","0.11816406"
"234","0.119140625"
"235","0.12011719"
"236","0.12109375"
"237","0.12207031"
"238","0.12109375"
"239","0.12207031"
"240","0.123046875"
"241","0.12207031"
"242","0.123046875"
"243","0.12402344"
"244","0.125"
"245","0.12597656"
"246","0.12695312"
"247","0.12792969"
"248","0.12695312"
"249","0.12792969"
"250","0.12890625"
"251","0.12988281"
"252","0.13085938"
"253","0.13183594"
"254","0.1328125"
"255","0.13378906"
"256","0.13476562"
"257","0.13574219"
"258","0.13671875"
"259","0.13769531"
"260","0.13867188"
"261","0.13769531"
"262","0.13867188"
"263","0.13769531"
"264","0.13671875"
"265","0.13769531"
"266","0.13671875"
"267","0.13769531"
"268","0.13867188"
"269","0.13964844"
"270","0.140625"
"271","0.13964844"
"272","0.140625"
"273","0.14160156"
"274","0.14257812"
"275","0.14355469"
"276","0.14453125"
"277","0.14550781"
"278","0.14648438"
"279","0.14746094"
"280","0.1484375"
"281","0.14941406"
"282","0.15039062"
"283","0.15136719"
"284","0.15039062"
"285","0.15136719"
"286","0.15234375"
"287","0.15332031"
"288","0.15234375"
"289","0.15332031"
"290","0.15429688"
"291","0.15527344"
"292","0.15625"
"293","0.15722656"
"294","0.15820312"
"295","0.15917969"
"296","0.15820312"
"297","0.15917969"
"298","0.16015625"
"299","0.16113281"
"300","0.16015625"
"301","0.16113281"
"302","0.16210938"
"303","0.16113281"
"304","0.16210938"
"305","0.16113281"
"306","0.16015625"
"307","0.16113281"
"308","0.16210938"
"309","0.16308594"
"310","0.16210938"
"311","0.16308594"
"312","0.16210938"
"313","0.16113281"
"314","0.16210938"
"315","0.16113281"
"316","0.16210938"
"317","0.16308594"
"318","0.1640625"
"319","0.16308594"
"320","0.16210938"
"321","0.16308594"
"322","0.1640625"
"323","0.16503906"
"324","0.16601562"
"325","0.16699219"
"326","0.16796875"
"327","0.16894531"
"328","0.16992188"
"329","0.17089844"
"330","0.171875"
"331","0.17285156"
"332","0.17382812"
"333","0.17480469"
"334","0.17578125"
"335","0.17675781"
"336","0.17578125"
"337","0.17480469"
"338","0.17578125"
"339","0.17675781"
"340","0.17773438"
"341","0.17675781"
"342","0.17773438"
"343","0.17871094"
"344","0.1796875"
"345","0.18066406"
"346","0.18164062"
"347","0.18261719"
"348","0.18359375"
"349","0.18261719"
"350","0.18359375"
"351","0.18457031"
"352","0.18359375"
"353","0.18261719"
"354","0.18359375"
"355","0.18457031"
"356","0.18554688"
"357","0.18652344"
"358","0.1875"
"359","0.18847656"
"360","0.18945312"
"361","0.18847656"
"362","0.1875"
"363","0.18847656"
"364","0.18945312"
"365","0.18847656"
"366","0.1875"
"367","0.18847656"
"368","0.18945312"
"369","0.19042969"
"370","0.18945312"
"371","0.19042969"
"372","0.18945312"
"373","0.19042969"
"374","0.18945312"
"375","0.19042969"
"376","0.19140625"
"377","0.19238281"
"378","0.19335938"
"379","0.19433594"
"380","0.19335938"
"381","0.19433594"
"382","0.19335938"
"383","0.19238281"
"384","0.19335938"
"385","0.19433594"
"386","0.1953125"
"387","0.19628906"
"388","0.19726562"
"389","0.19628906"
"390","0.19726562"
"391","0.19824219"
"392","0.19921875"
"393","0.19824219"
"394","0.19726562"
"395","0.19824219"
"396","0.19921875"
"397","0.20019531"
"398","0.10058594"
"399","0.10107422"
"400","0.1015625"
"401","0.10205078"
"402","0.1015625"
"403","0.10205078"
"404","0.10253906"
"405","0.103027344"
"406","0.103515625"
"407","0.103027344"
"408","0.103515625"
"409","0.104003906"
"410","0.10449219"
"411","0.104003906"
"412","0.10449219"
"413","0.104003906"
"414","0.10449219"
"415","0.10498047"
"416","0.10546875"
"417","0.10498047"
"418","0.10449219"
"419","0.10498047"
"420","0.10546875"
"421","0.10595703"
"422","0.10546875"
"423","0.10595703"
"424","0.10644531"
"425","0.10595703"
"426","0.10644531"
"427","0.106933594"
"428","0.107421875"
"429","0.107910156"
"430","0.10839844"
"431","0.10888672"
"432","0.109375"
"433","0.10986328"
"434","0.109375"
"435","0.10986328"
"436","0.11035156"
"437","0.110839844"
"438","0.111328125"
"439","0.111816406"
"440","0.11230469"
"441","0.11279297"
"442","0.11328125"
"443","0.11376953"
"444","0.11425781"
"445","0.114746094"
"446","0.115234375"
"447","0.115722656"
"448","0.11621094"
"449","0.11669922"
"450","0.11621094"
"451","0.11669922"
"452","0.1171875"
"453","0.11767578"
"454","0.11816406"
"455","0.118652344"
"456","0.119140625"
"457","0.119628906"
"458","0.12011719"
"459","0.12060547"
"460","0.12011719"
"461","0.12060547"
"462","0.12109375"
"463","0.12060547"
"464","0.12011719"
"465","0.12060547"
"466","0.12109375"
"467","0.12158203"
"468","0.12207031"
"469","0.122558594"
"470","0.123046875"
"471","0.123535156"
"472","0.12402344"
"473","0.12451172"
"474","0.12402344"
"475","0.12451172"
"476","0.12402344"
"477","0.12451172"
"478","0.12402344"
"479","0.12451172"
"480","0.125"
"481","0.12548828"
"482","0.12597656"
"483","0.12646484"
"484","0.12695312"
"485","0.12646484"
"486","0.12695312"
"487","0.1274414"
"488","0.12792969"
"489","0.12841797"
"490","0.12890625"
"491","0.12939453"
"492","0.12988281"
"493","0.1303711"
"494","0.13085938"
"495","0.13134766"
"496","0.13183594"
"497","0.13232422"
"498","0.1328125"
"499","0.13232422"
"500","0.1328125"
"501","0.13330078"
"502","0.13378906"
"503","0.13427734"
"504","0.13378906"
"505","0.13427734"
"506","0.13476562"
"507","0.1352539"
"508","0.13476562"
"509","0.1352539"
"510","0.13476562"
"511","0.1352539"
"512","0.13574219"
"513","0.13623047"
"514","0.13574219"
"515","0.1352539"
"516","0.13476562"
"517","0.1352539"
"518","0.13574219"
"519","0.13623047"
"520","0.13671875"
"521","0.13720703"
"522","0.13671875"
"523","0.13720703"
"524","0.13671875"
"525","0.13623047"
"526","0.13671875"
"527","0.13720703"
"528","0.13671875"
"529","0.13720703"
"530","0.13769531"
"531","0.1381836"
"532","0.13867188"
"533","0.13916016"
"534","0.13867188"
"535","0.13916016"
"536","0.13964844"
"537","0.13916016"
"538","0.13867188"
"539","0.1381836"
"540","0.13867188"
"541","0.13916016"
"542","0.13964844"
"543","0.14013672"
"544","0.140625"
"545","0.14111328"
"546","0.140625"
"547","0.14111328"
"548","0.14160156"
"549","0.14208984"
"550","0.14257812"
"551","0.14208984"
"552","0.14257812"
"553","0.1430664"
"554","0.14355469"
"555","0.14404297"
"556","0.14355469"
"557","0.14404297"
"558","0.14355469"
"559","0.14404297"
"560","0.14355469"
"561","0.14404297"
"562","0.14355469"
"563","0.14404297"
"564","0.14453125"
"565","0.14501953"
"566","0.14550781"
"567","0.1459961"
"568","0.14648438"
"569","0.1459961"
"570","0.14648438"
"571","0.14697266"
"572","0.14746094"
"573","0.14697266"
"574","0.14746094"
"575","0.14794922"
"576","0.1484375"
"577","0.14892578"
"578","0.14941406"
"579","0.14990234"
"580","0.15039062"
"581","0.1508789"
"582","0.15039062"
"583","0.1508789"
"584","0.15136719"
"585","0.15185547"
"586","0.15234375"
"587","0.15283203"
"588","0.15332031"
"589","0.1538086"
"590","0.15332031"
"591","0.1538086"
"592","0.15429688"
"593","0.15478516"
"594","0.15527344"
"595","0.15576172"
"596","0.15625"
"597","0.15673828"
"598","0.15722656"
"599","0.15771484"
"600","0.15820312"
"601","0.1586914"
"602","0.15917969"
"603","0.15966797"
"604","0.15917969"
"605","0.15966797"
"606","0.16015625"
"607","0.16064453"
"608","0.16113281"
"609","0.16064453"
"610","0.16113281"
"611","0.16064453"
"612","0.16113281"
"613","0.16064453"
"614","0.16113281"
"615","0.1616211"
"616","0.16210938"
"617","0.16259766"
"618","0.16308594"
"619","0.16357422"
"620","0.16308594"
"621","0.16357422"
"622","0.1640625"
"623","0.16455078"
"624","0.1640625"
"625","0.16455078"
"626","0.16503906"
"627","0.16552734"
"628","0.16601562"
"629","0.1665039"
"630","0.16699219"
"631","0.16748047"
"632","0.16699219"
"633","0.16748047"
"634","0.16796875"
"635","0.16845703"
"636","0.16796875"
"637","0.16748047"
"638","0.16796875"
"639","0.16845703"
"640","0.16894531"
"641","0.1694336"
"642","0.16992188"
"643","0.17041016"
"644","0.17089844"
"645","0.17138672"
"646","0.17089844"
"647","0.17138672"
"648","0.171875"
"649","0.17236328"
"650","0.17285156"
"651","0.17333984"
"652","0.17382812"
"653","0.17333984"
"654","0.17382812"
"655","0.1743164"
"656","0.17382812"
"657","0.17333984"
"658","0.17382812"
"659","0.1743164"
"660","0.17480469"
"661","0.1743164"
"662","0.17480469"
"663","0.17529297"
"664","0.17578125"
"665","0.17626953"
"666","0.17578125"
"667","0.17626953"
"668","0.17578125"
"669","0.17626953"
"670","0.17578125"
"671","0.17529297"
"672","0.17480469"
"673","0.17529297"
"674","0.17578125"
"675","0.17626953"
"676","0.17675781"
"677","0.1772461"
"678","0.17773438"
"679","0.17822266"
"680","0.17871094"
"681","0.17919922"
"682","0.1796875"
"683","0.18017578"
"684","0.18066406"
"685","0.18115234"
"686","0.18066406"
"687","0.18017578"
"688","0.1796875"
"689","0.18017578"
"690","0.18066406"
"691","0.18115234"
"692","0.18066406"
"693","0.18017578"
"694","0.18066406"
"695","0.18115234"
"696","0.18066406"
"697","0.18115234"
"698","0.18164062"
"699","0.1821289"
"700","0.18164062"
"701","0.1821289"
"702","0.18261719"
"703","0.18310547"
"704","0.18359375"
"705","0.18408203"
"706","0.18359375"
"707","0.18408203"
"708","0.18457031"
"709","0.1850586"
"710","0.18554688"
"711","0.18603516"
"712","0.18652344"
"713","0.18701172"
"714","0.1875"
"715","0.18701172"
"716","0.1875"
"717","0.18798828"
"718","0.18847656"
"719","0.18896484"
