"Occupancy","Time"
"394","2.375"
"395","2.375"
"396","2.375"
"397","2.375"
"398","2.375"
"399","2.375"
"400","2.375"
"401","2.375"
"402","2.375"
"403","2.375"
"404","2.375"
"405","2.375"
"406","2.375"
"407","2.375"
"408","2.375"
"409","2.375"
"410","2.375"
"411","2.375"
"412","2.375"
"413","2.375"
"414","2.375"
"415","2.375"
"416","2.375"
"417","2.375"
"418","2.375"
"419","2.375"
"420","2.375"
"421","2.375"
"422","2.375"
"423","2.375"
"424","2.375"
"425","2.375"
"426","2.375"
"427","2.375"
"428","2.375"
"429","2.375"
"430","2.375"
"431","2.375"
"432","2.375"
"433","2.375"
"434","2.375"
"435","2.375"
"436","2.375"
"437","2.375"
"438","2.375"
"439","2.375"
"440","2.375"
"441","2.375"
"442","2.375"
"443","2.375"
"444","2.375"
"445","2.375"
"446","2.375"
"447","2.375"
"448","2.375"
"449","2.375"
"450","2.375"
"451","2.375"
"452","2.375"
"453","2.375"
"454","2.375"
"455","2.375"
"456","2.375"
"457","2.375"
"458","2.375"
"459","2.375"
"460","2.375"
"461","2.375"
"462","2.375"
"463","2.375"
"464","2.375"
"465","2.375"
"466","2.375"
"467","2.375"
"468","2.375"
"469","2.375"
"470","2.375"
"471","2.375"
"472","2.375"
"473","2.375"
"474","2.375"
"475","2.375"
"476","2.375"
"477","2.375"
"478","2.375"
"479","2.375"
"480","2.375"
"481","2.375"
"482","2.375"
"483","2.375"
"484","2.375"
"485","2.375"
"486","2.375"
"487","2.375"
"488","2.375"
"489","2.375"
"490","2.375"
"491","2.375"
"492","2.375"
"493","2.375"
"494","2.375"
"495","2.375"
"496","2.375"
"497","2.375"
"498","2.375"
"499","2.375"
"500","2.375"
"501","2.375"
"502","2.375"
"503","2.375"
"504","2.375"
"505","2.375"
"506","2.375"
"507","2.375"
"508","2.375"
"509","2.375"
"510","2.375"
"511","2.375"
"512","2.375"
"513","2.375"
"514","2.375"
"515","2.375"
"516","2.375"
"517","2.375"
"518","2.375"
"519","2.375"
"520","2.375"
"521","2.375"
"522","2.375"
"523","2.375"
"524","2.375"
"525","2.375"
"526","2.375"
"527","2.375"
"528","2.375"
"529","2.375"
"530","2.375"
"531","2.375"
"532","2.375"
"533","2.375"
"534","2.375"
"535","2.375"
"536","2.375"
"537","2.375"
"538","2.375"
"539","2.375"
"540","2.375"
"541","2.375"
"542","2.375"
"543","2.375"
"544","2.375"
"545","2.375"
"546","2.375"
"547","2.375"
"548","2.375"
"549","2.375"
"550","2.375"
"551","2.375"
"552","2.375"
"553","2.375"
"554","2.375"
"555","2.375"
"556","2.375"
"557","2.375"
"558","2.375"
"559","2.375"
"560","2.375"
"561","2.375"
"562","2.375"
"563","2.375"
"564","2.375"
"565","2.375"
"566","2.375"
"567","2.375"
"568","2.375"
"569","2.375"
"570","2.375"
"571","2.375"
"572","2.375"
"573","2.375"
"574","2.375"
"575","2.375"
"576","2.375"
"577","2.375"
"578","2.375"
"579","2.375"
"580","2.375"
"581","2.375"
"582","2.375"
"583","2.375"
"584","2.375"
"585","2.375"
"586","2.375"
"587","2.375"
"588","2.375"
"589","2.375"
"590","2.375"
"591","2.375"
"592","2.375"
"593","2.375"
"594","2.375"
"595","2.375"
"596","2.375"
"597","2.375"
"598","2.375"
"599","2.375"
"600","2.375"
"601","2.375"
"602","2.375"
"603","2.375"
"604","2.375"
"605","2.375"
"606","2.375"
"607","2.375"
"608","2.375"
"609","2.375"
"610","2.375"
"611","2.375"
"612","2.375"
"613","2.375"
"614","2.375"
"615","2.375"
"616","2.375"
"617","2.375"
"618","2.375"
"619","2.375"
"620","2.375"
"621","2.375"
"622","2.375"
"623","2.375"
"624","2.375"
"625","2.375"
"626","2.375"
"627","2.375"
"628","2.375"
"629","2.375"
"630","2.375"
"631","2.375"
"632","2.375"
"633","2.375"
"634","2.375"
"635","2.375"
"636","2.375"
"637","2.375"
"638","2.375"
"639","2.375"
"640","2.375"
"641","2.375"
"642","2.375"
"643","2.375"
"644","2.375"
"645","2.375"
"646","2.375"
"647","2.375"
"648","2.375"
"649","2.375"
"650","2.375"
"651","2.375"
"652","2.375"
"653","2.375"
"654","2.375"
"655","2.375"
"656","2.375"
"657","2.375"
"658","2.375"
"659","2.375"
"660","2.375"
"661","2.375"
"662","2.375"
"663","2.375"
"664","2.375"
"665","2.375"
"666","2.375"
"667","2.375"
"668","2.375"
"669","2.375"
"670","2.375"
"671","2.375"
"672","2.375"
"673","2.375"
"674","2.375"
"675","2.375"
"676","2.375"
"677","2.375"
"678","2.375"
"679","2.375"
"680","2.375"
"681","2.375"
"682","2.375"
"683","2.375"
"684","2.375"
"685","2.375"
"686","2.375"
"687","2.375"
"688","2.375"
"689","2.375"
"690","2.375"
"691","2.375"
"692","2.375"
"693","2.375"
"694","2.375"
"695","2.375"
"696","2.375"
"697","2.375"
"698","2.375"
"699","2.375"
